AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT2G16586		1135.8	2.1866	0.097909	22.333	1.7717999999999995e-110	1.7627999999999997e-107	transmembrane protein.
AT5G58070	TIL	4190.7	-1.5527	0.070365	-22.067	6.580199999999999e-108	6.161799999999999e-105	full_name=temperature-induced lipocalin. temperature-induced lipocalin. Encodes a temperature-induced lipocalin TIL1.  Involved in thermotolerance.  Peripherally associated with plasma membrane.
AT2G40140	CZF1	1279	2.3616	0.10744	21.98	4.437399999999999e-107	3.924399999999999e-104	zinc finger (CCCH-type) family protein.
AT5G02020	SIS	2750.3	2.0917	0.097362	21.484	2.2118999999999993e-102	1.8531999999999998e-99	full_name=Salt Induced Serine rich. E3 ubiquitin-protein ligase RLIM-like protein. Encodes a protein involved in salt tolerance, names SIS (Salt Induced Serine rich).
AT1G03220	SAP2	551.84	3.5427	0.16719	21.19	1.1930999999999997e-99	9.496599999999998e-97	Eukaryotic aspartyl protease family protein.
AT5G03240	UBQ3	6491.2	1.4192	0.067829	20.924	3.269699999999999e-97	2.478599999999999e-94	full_name=polyubiquitin 3. polyubiquitin 3. encodes ubiquitin that is attached to proteins destined for degradation. UBQ3 is most homologous with UBQ4, and is expressed in higher levels in vegetative tissue but lower levels in flowers than UBQ4. UBQ3 encodes different number of ubiquitins in different ecotypes. UBQ3 transcript level is modulated by UV-B and light/dark treatments.
AT1G53540	HSP17.6C	2364.4	-2.1984	0.10639	-20.663	7.4437e-95	5.3861999999999994e-92	HSP20-like chaperones superfamily protein.
AT5G21280	ATR7	1165.7	1.8728	0.091106	20.556	6.775999999999998e-94	4.6898999999999994e-91	hydroxyproline-rich glycoprotein family protein.
AT3G63040		791.51	-2.7024	0.13233	-20.421	1.0791999999999998e-92	7.158299999999999e-90	hypothetical protein.
AT2G19310	HSP18.5	1321.7	-2.0827	0.10288	-20.244	4.040199999999999e-91	2.5725999999999993e-88	HSP20-like chaperones superfamily protein.
AT2G28490		42702	-1.2216	0.061481	-19.869	7.504999999999999e-88	4.5950999999999986e-85	RmlC-like cupins superfamily protein.
AT2G43820	UGT74F2	1895.5	2.1783	0.11053	19.707	1.8595999999999997e-86	1.0963999999999999e-83	full_name=UDP-glucosyltransferase 74F2. UDP-glucosyltransferase 74F2. Induced by Salicylic acid, virus, fungus and bacteria.Involved in the tryptophan synthesis pathway. Independent of NPR1 for their induction by salicylic acid. UGT74F1 transfers UDP:glucose to salicylic acid (forming a glucoside (SAG) and a glucose ester (SGE)), benzoic acid, and athranilate in vitro. UGT74F2 shows a weak ability to catalyze the formation of the p-aminobenzoate-glucose ester in vitro. But, UGT75B1 appears to be the dominant pABA acylglucosyltransferase in vivo based on assays in leaves, flowers, and siliques. The true biological substrate(s) of UGT74F2 are not known, but mutant plants lacking UGT74F2 have a decreased level of SAG and SGE.
AT5G48180	NSP5	1310.5	-1.7177	0.087413	-19.65	5.794599999999999e-86	3.2943999999999992e-83	full_name=nitrile specifier protein 5. nitrile specifier protein 5. Encodes a nitrile-specifier protein NSP5. NSP5 is one out of five (At3g16400/NSP1, At2g33070/NSP2, At3g16390/NSP3, At3g16410/NSP4 and At5g48180/NSP5) A. thaliana epithiospecifier protein (ESP) homologues that promote simple nitrile, but not epithionitrile or thiocyanate formation.
AT5G06750	APD8	993.05	2.4279	0.12376	19.617	1.1010999999999997e-85	6.044399999999999e-83	Protein phosphatase 2C family protein.
AT2G32120	HSP70T-2	5458	-1.1558	0.059454	-19.44	3.5087999999999994e-84	1.8618999999999995e-81	full_name=heat-shock protein 70T-2. heat-shock protein 70T-2.
AT4G31590	CSLC5	947.24	-1.5844	0.083171	-19.05	6.607599999999998e-81	3.3930999999999996e-78	full_name=Cellulose-synthase-like C5. Cellulose-synthase-like C5. encodes a gene similar to cellulose synthase
AT4G27140	SESA1	34840	-2.2136	0.11909	-18.588	4.005299999999999e-77	1.9924999999999994e-74	full_name=seed storage albumin 1. seed storage albumin 1.
AT4G26740	ATS1	15703	-1.5758	0.085474	-18.435	6.823999999999999e-76	3.2919e-73	full_name=seed gene 1. peroxygenase 1. Encodes caleosin, a 27-kDa protein found within seed lipid bodies. Gene is expressed preferentially in the embryo, has similarity to a rice ABA-responsive gene, EFA27. Catalyze hydroperoxide-dependent mono-oxygenation  reactions. Require calcium for peroxygenase activity. Probably  deeply buried in lipid droplets or microsomes.
AT3G48580	XTH11	624.27	-2.5061	0.13738	-18.242	2.3772999999999995e-74	1.113e-71	full_name=xyloglucan endotransglucosylase/hydrolase 11. xyloglucan endotransglucosylase/hydrolase 11.
AT2G01450	MPK17	4877.5	1.3218	0.072872	18.138	1.5943e-73	7.251499999999999e-71	full_name=MAP kinase 17. MAP kinase 17. member of MAP Kinase
AT5G48850	ATSDI1	601.24	-3.1418	0.17496	-17.957	4.244599999999999e-72	1.8769999999999998e-69	full_name=SULPHUR DEFICIENCY-INDUCED 1. Tetratricopeptide repeat (TPR)-like superfamily protein. homologous to the wheat sulphate deficiency-induced gene sdi1. Expression in root and leaf is induced by sulfur starvation. Knockout mutants retained higher root and leaf sulfate concentrations, indicating a role in regulation of stored sulfate pools.
AT4G25140	OLEO1	151380	-1.1993	0.066827	-17.946	5.160999999999999e-72	2.2204999999999998e-69	full_name=oleosin 1. oleosin 1. Encodes oleosin1, a protein found in oil bodies, involved in seed lipid accumulation. Suppression of OLEO1 (and OLEO2) resulted in an aberrant phenotype of embryo cells that contain unusually large oilbodies that are not normally observed in seeds. Changes in the size of oilbodies caused disruption of storage organelles, altering accumulation of lipids and proteins and causing delay in germination.  Functions in freezing tolerance of seeds.
AT3G27660	OLEO4	51399	-1.102	0.061569	-17.898	1.2163999999999999e-71	5.0959e-69	full_name=oleosin 4. oleosin 4. Encodes oleosin4 (Plant Cell, 2006, 18:1961), a protein found in oil bodies, involved in seed lipid accumulation.  Functions in freezing tolerance of seeds. Note: also referred to as OLE3 in Plant Journal 2008, 55:798.
AT5G45630		324.11	-2.6421	0.14782	-17.874	1.8839e-71	7.689699999999999e-69	senescence regulator (Protein of unknown function, DUF584).
AT1G54050	HSP17.4B	1836.9	-1.4018	0.078539	-17.849	2.9600999999999995e-71	1.1780999999999999e-68	HSP20-like chaperones superfamily protein.
AT3G46660	UGT76E12	1758.1	1.4	0.078476	17.84	3.4345999999999996e-71	1.3334999999999997e-68	full_name=UDP-glucosyl transferase 76E12. UDP-glucosyl transferase 76E12.
AT1G05560	UGT75B1	654.55	2.1662	0.12265	17.661	8.315999999999998e-70	3.1519999999999994e-67	full_name=UDP-glucosyltransferase 75B1. UDP-glucosyltransferase 75B1. A UDP-glucose transferase localized in the phragmoplast.  It has been co-purified with the callose synthase complex and may transfer UDP-glucose from sucrose synthase to the callose synthase and thus help form a substrate channel for the synthesis of callose at the forming cell plate. Induced by salicylic acid. Independent of NPR1 for their induction by salicylic acid. UGT1 encodes a protein with glucosyltransferase activity with high sequence homology to UGT2 (AT1G05530). It belongs to an UGT subfamily that binds UDP-glucose but not UDP-glucuronate, UDP-galactose, or UDP-rhamnose as the glycosyl donor. UGT1 was shown to be able to use abscisic acid as glycosylation substrate in the presence of UDP-glucose. UGT1/UGT75B1 catalyzes the formation of the p-aminobenzoate-glucose ester in vitro and in vivo. It appears to be the enzyme predominantly responsible for pABA-Glc formation in Arabidopsis based on assays in leaves, flowers, and siliques.
AT5G60790	ABCF1	2025.2	1.2054	0.070523	17.093	1.6759999999999998e-65	6.204799999999999e-63	full_name=ATP-binding cassette F1. ABC transporter family protein. member of GCN subfamily
AT1G15430		521.74	1.9223	0.11285	17.034	4.6216999999999995e-65	1.6720999999999997e-62	hypothetical protein (DUF1644).
AT5G57550	XTH25	50534	-1.5163	0.089296	-16.981	1.1434999999999997e-64	4.045299999999999e-62	full_name=xyloglucan endotransglucosylase/hydrolase 25. xyloglucan endotransglucosylase/hydrolase 25. xyloglucan endotransglycosylase-related protein (XTR3)
AT5G18450		2062.7	-1.9796	0.11694	-16.928	2.7905999999999996e-64	9.657399999999998e-62	Integrase-type DNA-binding superfamily protein. encodes a member of the DREB subfamily A-2 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are eight members in this subfamily including DREB2A AND DREB2B that are involved in response to drought.
AT5G39050	PMAT1	827.88	1.721	0.10207	16.861	8.676299999999998e-64	2.9386999999999995e-61	full_name=phenolic glucoside malonyltransferase 1. HXXXD-type acyl-transferase family protein. Encodes a malonyltransferase that may play a role in phenolic xenobiotic detoxification.
AT1G06760	H1.1	800.66	-2.158	0.12825	-16.827	1.5546999999999998e-63	5.155999999999999e-61	winged-helix DNA-binding transcription factor family protein.
AT5G09590	MTHSC70-2	3997.5	-0.99293	0.059101	-16.801	2.4103999999999996e-63	7.830899999999998e-61	full_name=mitochondrial HSO70 2. mitochondrial HSO70 2. heat shock protein 70 (Hsc70-5); nuclear
AT1G07400	HSP17.8	311.72	-2.7481	0.16424	-16.733	7.589999999999999e-63	2.4164999999999995e-60	HSP20-like chaperones superfamily protein.
AT3G11050	FER2	10543	-1.0965	0.065752	-16.676	1.9716999999999996e-62	6.154499999999999e-60	full_name=ferritin 2. ferritin 2.
AT5G65720	NFS1	776.44	2.3116	0.13877	16.657	2.6695999999999994e-62	8.172599999999999e-60	full_name=nitrogen fixation S (NIFS)-like 1. nitrogen fixation S (NIFS)-like 1. Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).
AT1G03880	CRU2	66476	-1.3485	0.081367	-16.573	1.0861999999999997e-61	3.2625e-59	full_name=cruciferin 2. cruciferin 2. Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.
AT3G22490	ATRAB28	12128	-1.2123	0.073764	-16.435	1.0664999999999998e-60	3.1439e-58	Seed maturation protein.
AT1G03230	SAP1	414.34	2.386	0.14734	16.194	5.5589999999999994e-59	1.609e-56	Eukaryotic aspartyl protease family protein.
AT3G51810	EM1	22802	-1.3254	0.082387	-16.087	3.1315e-58	8.9017e-56	full_name=LATE EMBRYOGENESIS ABUNDANT 1. Stress induced protein. Encodes a ABA-inducible protein that accumulates during seed maturation, in parallel with its corresponding mRNA but with a 3 d delay. During germination, AtEm1 protein undergoes two successive cleavages before being degraded. Both proteins are more stable than the corresponding mRNA.  The gene can be activated by the basic leucine zipper transcription factor ABI5. Expressed predominantly in provascular tissues with the strongest expression in the root tip.
AT5G52640	HSP90.1	10921	-1.1743	0.073259	-16.03	7.9177e-58	2.2113e-55	full_name=heat shock protein 90.1. heat shock-like protein. Encodes a cytosolic heat shock protein AtHSP90.1.  AtHSP90.1 interacts with disease resistance signaling components SGT1b and RAR1 and is required for RPS2-mediated resistance.
AT4G10250	ATHSP22.0	579.38	-3.1212	0.19538	-15.975	1.9228e-57	5.277499999999999e-55	HSP20-like chaperones superfamily protein. Columbia endomembrane-localized small heat shock protein
AT5G02480		1007.7	-1.3669	0.085992	-15.895	6.8156e-57	1.8388999999999997e-54	HSP20-like chaperones superfamily protein.
AT5G66110	HIPP27	1143.3	-1.3228	0.083374	-15.866	1.0892e-56	2.8898999999999997e-54	full_name=heavy metal associated isoprenylated plant protein 27. Heavy metal transport/detoxification superfamily protein.
AT1G26400	ATBBE5	692.01	-1.7094	0.108	-15.829	1.9698e-56	5.1405999999999994e-54	FAD-binding Berberine family protein.
AT5G07330		14531	-0.76685	0.04862	-15.772	4.8171e-56	1.2367999999999998e-53	NFU1 iron-sulfur cluster protein.
AT5G59790	SOK5	469.31	1.9372	0.12356	15.678	2.1306999999999997e-55	5.3837999999999985e-53	UPSTREAM OF FLC protein (DUF966).
AT4G12400	Hop3	2194.6	-1.0874	0.069463	-15.654	3.0965999999999997e-55	7.702399999999999e-53	full_name=Hop3. stress-inducible protein. Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.
AT4G35160	ASMT	2276.9	-1.4191	0.09084	-15.622	5.1927e-55	1.2716999999999999e-52	O-methyltransferase family protein.
AT5G63030	GRXC1	10428	-1.0104	0.064833	-15.585	9.2776e-55	2.2376999999999998e-52	full_name=glutaredoxin C1. Thioredoxin superfamily protein.
AT1G75280		700.57	-1.4824	0.095587	-15.509	3.0351999999999995e-54	7.2115e-52	NmrA-like negative transcriptional regulator family protein. isoflavone reductase, putative, identical to SP:P52577 Isoflavone reductase homolog P3 (EC 1.3.1.-) {Arabidopsis thaliana}; contains Pfam profile PF02716: isoflavone reductase. Involved in response to oxidative stress.
AT5G53895		4476.5	-1.5112	0.098593	-15.328	4.981999999999999e-53	1.1662999999999998e-50	hypothetical protein.
AT4G33467		1482.6	1.5581	0.10171	15.319	5.667899999999999e-53	1.3077e-50	hypothetical protein.
AT1G70290	TPS8	446.68	2.2096	0.14432	15.31	6.536199999999999e-53	1.4864e-50	full_name=trehalose-6-phosphatase synthase S8. trehalose-6-phosphatase synthase S8. Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants.
AT4G36010		380.23	3.1124	0.20505	15.179	4.9060999999999995e-52	1.1e-49	Pathogenesis-related thaumatin superfamily protein.
AT5G22460		1095.9	-1.5881	0.10492	-15.136	9.437899999999999e-52	2.0867e-49	alpha/beta-Hydrolases superfamily protein.
AT5G64750	ABR1	1240.5	1.3248	0.087548	15.132	9.990999999999998e-52	2.1787e-49	full_name=ABA REPRESSOR1. Integrase-type DNA-binding superfamily protein. Encodes a putative transcription factor containing an AP2 domain. Is a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family.  Expressed in response to ABA, osmotic stress, sugar stress and drought. Mutants are hypersensitive to these stresses. May be involved in regulation of ABA mediated stress response.
AT2G30620	H1.2	366.69	-2.1913	0.14495	-15.117	1.2423e-51	2.6724e-49	winged-helix DNA-binding transcription factor family protein.
AT1G74310	HSP101	9238.4	-0.99699	0.065993	-15.108	1.4432e-51	3.0633e-49	full_name=heat shock protein 101. heat shock protein 101. Encodes ClpB1, which belongs to the Casein lytic proteinase/heat shock protein 100 (Clp/Hsp100) family.  Involved in refolding of proteins which form aggregates under heat stress. Also known as AtHsp101.  AtHsp101 is a cytosolic heat shock protein required for acclimation to high temperature.
AT4G11911		268.95	3.1645	0.21162	14.954	1.4763e-50	3.0923e-48	STAY-GREEN-like protein.
AT5G07290	ML4	2549.5	1.1853	0.079602	14.89	3.8188999999999996e-50	7.8952e-48	full_name=MEI2-like 4. MEI2-like 4. AML4  A member of mei2-like gene family, predominantly plant-based family of genes encoding RNA binding proteins with characteristic presence of a highly conserved RNA binding motif first described in the mei2 gene of the fission yeast S. pombe. In silico analyses reveal nine mei2 -like genes in A. thaliana. They were grouped into four distinct clades, based on overall sequence similarity and subfamily-specific sequence elements. AML4 is a member of two sister clades of mei2-like gene family, AML1 through AML5, and belongs to the clade named ALM14. AML4 is expressed during embryo development (heart and torpedo stage) and in vegetative and floral apices.
AT2G39210	PIC30	651.94	-1.6833	0.11328	-14.86	6.018399999999999e-50	1.2283e-47	Major facilitator superfamily protein.
AT5G47880	ERF1-1	1479.5	1.0679	0.07309	14.611	2.3985e-48	4.8330999999999994e-46	full_name=eukaryotic release factor 1-1. eukaryotic release factor 1-1. Encodes a eukaryotic release factor 1 homolog.  Cosuppression of the gene's expression results affects cell elongation of the inflorescence stem, specifically the internodes, and radial cell division.  Expression of the protein is primarily observed in the vascular system and in actively growing and elongating zones.
AT1G02700		6890.7	-1.1955	0.081953	-14.588	3.3531e-48	6.672199999999999e-46	GATA transcription factor-like protein.
AT5G62520	SRO5	192.78	2.9095	0.20007	14.542	6.5301e-48	1.2834e-45	full_name=similar to RCD one 5. similar to RCD one 5. Encodes a protein with similarity to RCD1 but without the WWE domain. The protein does have a PARP signature upstream of the C-terminal protein interaction domain. The PARP signature may bind NAD+ and attach the ADP-ribose-moiety from NAD+ to the target molecule. Its presence suggests a role for the protein in ADP ribosylation. Up-regulated by NaCl. SRO5 and P5CDH (an overlapping gene in the antisense orientation) generate 24-nt and 21-nt siRNAs, which together are components of a regulatory loop controlling reactive oxygen species (ROS) production and stress response.
AT1G77950	AGL67	3798.1	-1.0848	0.075266	-14.412	4.3186e-47	8.3839e-45	full_name=AGAMOUS-like 67. AGAMOUS-like 67.
AT1G14950		18796	-1.0073	0.069949	-14.401	5.1339e-47	9.846599999999999e-45	Polyketide cyclase/dehydrase and lipid transport superfamily protein.
AT2G36780		517.62	1.792	0.12452	14.391	5.9013e-47	1.1183999999999999e-44	UDP-Glycosyltransferase superfamily protein.
AT3G50060	MYB77	858.63	1.441	0.1002	14.382	6.7071e-47	1.2561e-44	full_name=myb domain protein 77. myb domain protein 77. Encodes a member of the R2R3 transcription factor gene family. Expressed in response to potassium deprivation and auxin. Involved in lateral root development. Interacts with ARF7 and regulates the expression of some auxin responsive genes.
AT5G66430		1974.4	-1.714	0.11938	-14.357	9.6258e-47	1.7818e-44	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein.
AT1G03990		2179.4	-1.1712	0.081667	-14.341	1.2059e-46	2.2065999999999998e-44	Long-chain fatty alcohol dehydrogenase family protein.
AT4G25130	PMSR4	2167.8	-1.0579	0.073958	-14.304	2.0772e-46	3.7576e-44	full_name=peptide met sulfoxide reductase 4. peptide met sulfoxide reductase 4. Encodes a chloroplast-localized methionine sulfoxide reductase that is a member of the MSRA family. Involved in protection of chloroplasts from oxidative stress.
AT3G44880	ACD1	405.56	-1.7995	0.12586	-14.298	2.2592e-46	4.0409e-44	full_name=ACCELERATED CELL DEATH 1. Pheophorbide a oxygenase family protein with Rieske 2Fe-2S domain-containing protein. Encodes a pheide a oxygenase (PAO). Accelerated cell death (acd1) mutants show rapid, spreading necrotic responses to both virulent and avirulent Pseudomonas syringae pv. maculicola or pv. tomato pathogens and to ethylene.
AT3G15260		7663.9	-0.99016	0.069376	-14.272	3.2484999999999997e-46	5.7458e-44	Protein phosphatase 2C family protein.
AT5G17190		1398.5	-1.266	0.089158	-14.199	9.2851e-46	1.6243e-43	B-cell receptor-associated-like protein.
AT2G47180	GolS1	5798.1	-0.91774	0.064653	-14.195	9.8696e-46	1.7077999999999999e-43	full_name=galactinol synthase 1. galactinol synthase 1. GolS1 is a galactinol synthase that catalyzes the formation of galactinol from UDP-galactose and myo-inositol. GolS1 transcript levels rise in response to methyl viologen, an oxidative damage-inducing agent. Plants over-expressing GolS1 have increased tolerance to salt, chilling, and high-light stress.
AT5G24950	CYP71A15	306.09	-2.4648	0.17402	-14.163	1.5433e-45	2.6418e-43	full_name=cytochrome P450, family 71, subfamily A, polypeptide 15. cytochrome P450, family 71, subfamily A, polypeptide 15. putative cytochrome P450
AT1G14940		7577.2	-1.7037	0.12034	-14.157	1.6955e-45	2.8714e-43	Polyketide cyclase/dehydrase and lipid transport superfamily protein.
AT4G25670	DOB1	303.63	2.0035	0.142	14.109	3.3229999999999996e-45	5.5683e-43	stress response NST1-like protein.
AT4G18920		893.69	1.6	0.11411	14.021	1.1532e-44	1.9123e-42	histone acetyltransferase (DUF1264).
AT1G14930		6081.5	-1.1883	0.084848	-14.004	1.4630999999999998e-44	2.4011e-42	Polyketide cyclase/dehydrase and lipid transport superfamily protein.
AT2G42000	AtMT4a	6757	-1.5774	0.11266	-14.001	1.5268e-44	2.4802e-42	full_name=Arabidopsis thaliana metallothionein 4a. plant EC metallothionein family protein. AtMT4a is a member of Type 4 metallothionein (MT) genes. It is involved in the early develoment of the embryo and in the accumulation of metal ions especially Zn in the seeds.
AT1G50420	SCL3	411.94	1.8085	0.12932	13.984	1.9506999999999998e-44	3.1367e-42	full_name=scarecrow-like 3. scarecrow-like 3. Encodes a scarecrow-like protein (SCL3) Putative transcription factors interacting with the gene product of VHA-B1 (vacuolar ATPase subunit B1; as shown through yeast two-hybrid assay).
AT4G19700	RING	610.12	2.1885	0.15662	13.973	2.2838e-44	3.6355000000000003e-42	SBP (S-ribonuclease binding protein) family protein. Encodes BOI (Botrytis Susceptible 1 Interactor).  Has E3 ubiquitin ligase activity. Interacts with and ubiquitinates BOS1 (Botrytis Susceptible 1).  It prevents caspase activation and attenuates cell death.
AT4G18220		303.94	-2.1141	0.15144	-13.96	2.7345999999999997e-44	4.3101e-42	Drug/metabolite transporter superfamily protein.
AT3G05260		31805	-0.74718	0.053646	-13.928	4.2854e-44	6.6881e-42	NAD(P)-binding Rossmann-fold superfamily protein.
AT1G29680		3098.7	-0.95445	0.068752	-13.882	8.089999999999999e-44	1.2503e-41	histone acetyltransferase (DUF1264).
AT4G18650	DOGL4	1067.3	-1.3885	0.10034	-13.838	1.5020999999999999e-43	2.2992e-41	transcription factor-like protein. A maternally expressed imprinted gene.
AT3G01570		20155	-0.67714	0.048993	-13.821	1.898e-43	2.8774999999999996e-41	Oleosin family protein.
AT1G47540		3678.2	-1.3781	0.099722	-13.82	1.9391e-43	2.9122e-41	Scorpion toxin-like knottin superfamily protein.
AT5G63530	FP3	459.31	-2.1035	0.15251	-13.793	2.8279e-43	4.2071999999999997e-41	full_name=farnesylated protein 3. farnesylated protein 3. Farnesylated protein that binds metals.
AT1G68570	NPF3.1	1785.3	-1.0729	0.077836	-13.784	3.1841999999999998e-43	4.693499999999999e-41	Major facilitator superfamily protein.
AT3G55440	TPI	749.68	1.4196	0.1035	13.715	8.2501e-43	1.2049e-40	full_name=triosephosphate isomerase. triosephosphate isomerase. Encodes triosephosphate isomerase.
AT1G05510	OBAP1A	46607	-1.0173	0.07441	-13.672	1.5013e-42	2.1726999999999997e-40	naphthalene 1,2-dioxygenase subunit alpha (DUF1264). Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.
AT4G33980	COR28	1748.6	1.1748	0.086137	13.639	2.3376000000000002e-42	3.3524999999999997e-40	hypothetical protein.
AT4G20830	ATBBE19	794.13	1.2248000000000001	0.089989	13.61	3.493e-42	4.964699999999999e-40	FAD-binding Berberine family protein.
AT1G75800		823.76	1.7068	0.12558	13.592	4.4966e-42	6.334699999999999e-40	Pathogenesis-related thaumatin superfamily protein.
AT1G70680		199.54	-4.4136	0.32746	-13.478	2.0999999999999999e-41	2.9325e-39	Caleosin-related family protein.
AT5G59170		11091	-1.0483	0.077797	-13.474	2.2151999999999999e-41	3.0664e-39	Proline-rich extensin-like family protein.
AT1G70985		356.67	-1.9391	0.14413	-13.454	2.9353999999999997e-41	4.0283e-39	hydroxyproline-rich glycoprotein family protein.
