Trait,AGI
longevity,AT5G60970
longevity,AT5G08130
longevity,AT4G14770
longevity,AT3G12720
longevity,AT1G01060
longevity,AT1G01720
longevity,AT3G61890
longevity,AT3G59060
longevity,AT3G22480
longevity,AT1G18330
longevity,AT1G20640
longevity,AT4G31550
longevity,AT2G41070
longevity,AT4G09820
longevity,AT3G01470
longevity,AT5G17300
longevity,AT2G22300
longevity,AT1G69490
longevity,AT4G16150
longevity,AT5G64220
longevity,AT4G02590
longevity,AT3G54320
longevity,AT3G20770
longevity,AT2G38340
longevity,AT4G11080
longevity,AT5G11510
longevity,AT1G03040
longevity,AT2G24260
longevity,AT4G08150
longevity,AT1G26260
longevity,AT1G68920
longevity,AT3G23690
longevity,AT4G34530
longevity,AT4G29940
longevity,AT5G39610
longevity,AT2G17410
longevity,AT4G04890
longevity,AT4G38680
longevity,AT1G08320
longevity,AT4G17880
longevity,AT2G27300
longevity,AT1G51140
longevity,AT1G32240
longevity,AT1G46264
longevity,AT2G03340
longevity,AT3G58780
longevity,AT2G40950
longevity,AT2G06200
longevity,AT5G18560
longevity,AT4G21895
longevity,AT1G10480
longevity,AT1G28160
longevity,AT1G75490
longevity,AT5G18450
longevity,AT1G53170
longevity,AT1G50640
longevity,AT1G72360
longevity,AT1G68550
longevity,AT1G53910
longevity,AT3G23240
longevity,AT1G28370
longevity,AT3G20310
longevity,AT1G43160
longevity,AT5G61600
longevity,AT3G15210
longevity,AT5G64750
longevity,AT4G17490
longevity,AT1G22190
longevity,AT1G64380
longevity,AT1G78080
longevity,AT5G25190
longevity,AT4G39780
longevity,AT5G47220
longevity,AT4G23750
longevity,AT4G27950
longevity,AT4G11140
longevity,AT5G67580
longevity,AT3G16770
longevity,AT5G59430
longevity,AT1G49010
longevity,AT1G28360
longevity,AT5G13330
longevity,AT1G22985
longevity,AT1G71130
longevity,AT5G44210
longevity,AT5G10030
longevity,AT5G53290
longevity,AT2G46310
longevity,AT3G61630
longevity,AT2G32460
longevity,AT4G31800
longevity,AT4G00250
longevity,AT5G65510
longevity,AT3G44460
longevity,AT1G14900
longevity,AT3G12250
